Geir jr Nordmand;1028;M;13;geirjr@norge.no;true;BRYST;3;11;5;22;2;11;2;21
Knut jr Nordmand;1029;M;14;knutjr@norge.no;true;BRYST;3;12;5;22;2;12;2;22
Eskil jr Nordmand;1030;M;15;eskiljr@norge.no;true;BRYST;3;13;5;22;2;3;2;23
Trond jr Nordmand;1031;M;16;trondjr@norge.no;true;BRYST;3;14;5;22;2;4;2;24
Kalle Olson;1032;M;43;kalle@svea.se;true;CRAWL;2;1;5;22;2;10;1;20
Jørgen Persson;1033;M;42;jøran@svea.se;true;CRAWL;2;2;5;22;2;11;1;21
Otto Gran;1034;M;41;otto@svea.se;true;CRAWL;2;12;5;22;2;12;1;22
Alfred Lunde;1035;M;40;eskil@svea.se;true;CRAWL;2;59;5;22;2;13;1;23
Leon Johnson;1036;M;29;trond@svea.se;true;CRAWL;2;43;5;22;2;14;1;24
Charlie Moon;1037;M;12;charlie@moon.se;true;CRAWL;3;20;5;22;2;10;2;20
Sam Larsen;1038;M;13;samsam@svea.se;true;CRAWL;3;34;5;22;2;11;2;21
Lars Samuelsen;1039;M;14;larss@svea.se;true;CRAWL;3;22;5;22;2;12;2;22
Åke Lorentzen;1040;M;15;åke@svea.se;true;CRAWL;3;23;5;22;2;3;2;23
Malte Tyhg;1041;M;16;tyghm@svea.se;true;CRAWL;3;24;5;22;2;4;3;24
Alice Olson;1042;K;43;alice@svea.se;true;CRAWL;3;1;5;22;3;10;2;20
Agnes Persson;1043;K;42;agnes@svea.se;true;CRAWL;3;1;5;22;2;11;2;21
Hedda Gran;1044;K;41;hedda@svea.se;true;CRAWL;3;12;5;38;2;12;2;22
Wilma Lunde;1045;K;40;wilma@svea.se;true;CRAWL;2;59;5;22;2;13;2;23
Mila Johnson;1046;K;29;mila@svea.se;true;CRAWL;2;43;5;22;2;14;2;24
Signe Sund;1047;K;12;sund@signe.se;true;CRAWL;3;20;5;22;2;10;3;20
Liv Larsen;1048;K;13;livlarsen@svea.se;true;CRAWL;3;34;5;22;3;11;3;21
Elvira Oman;1049;K;14;larss@svea.se;true;CRAWL;3;22;5;22;3;12;3;22
Esther Emmet;1050;K;15;emmet@svea.se;true;CRAWL;3;23;5;22;3;13;3;23
Celine Diaz;1051;K;16;diaz@celine.com;true;CRAWL;3;24;5;22;2;14;3;24
Kari Olsen;1052;K;43;kari@norge.no;true;BRYST;3;10;5;22;3;13;3;20
Line Lang;1053;K;42;line@norge.no;true;BRYST;3;11;5;22;3;11;3;21
Ulla Ull;1054;K;41;ulla@norge.no;true;BRYST;3;12;5;22;2;12;3;22
Tone Døveland;1055;K;40;tone@norge.no;true;BRYST;3;13;5;22;3;13;3;23
Hanne Hopp;1056;K;29;hoppla@norge.no;true;BRYST;3;14;5;22;3;14;3;24
Johanne Nielsen;1057;K;12;johanne@norge.no;true;BRYST;4;10;5;22;3;10;3;20
Trine Weinert;1058;K;13;trine@norge.no;true;BRYST;4;11;5;22;3;11;3;21
Lone Monsen;1059;K;14;lone@norge.no;true;BRYST;3;12;4;22;3;12;3;22
Susanne Lykke;1060;K;15;susanne@lykke.dk;true;BRYST;4;13;5;22;3;13;3;23
Eva Koss;1061;K;16;koss@norge.no;true;BRYST;4;14;5;22;3;4;3;24
Anne Panne;1062;K;14;anne@panne.dk;false;BUTTERFLY;3;12;4;22;3;10;3;15
Hanne Panne;1062;K;15;hanne@panne.dk;false;BUTTERFLY;3;13;4;22;3;11;3;16
Carsten Panne;1063;M;14;casrten@panne.dk;false;BUTTERFLY;3;1;4;22;3;3;3;2
Anders Panne;1064;M;15;anders@panne.dk;false;BUTTERFLY;3;2;4;22;3;17;3;5
Jens Lonna;1065;M;14;jens@panne.dk;false;BUTTERFLY;3;3;4;22;3;25;3;34
Torgeir Poll;1066;M;15;torgeir@poll.dk;true;BUTTERFLY;3;4;4;22;3;4;3;4
Mons Hvidtfeldt;1067;M;14;mons@gmail.com;true;BUTTERFLY;3;5;4;22;3;5;3;5
Jane Panne;1068;K;19;jane@panne.dk;false;RYGCRAWL;4;12;4;22;4;10;4;15
Erle Panne;1069;K;20;erle@panne.dk;false;RYGCRAWL;4;13;4;22;4;11;4;16
Lousie Lonna;1070;K;19;louise@lonna.dk;false;RYGCRAWL;4;13;4;22;4;12;4;17
Nina Poll;1071;K;20;nina@poll.dk;true;RYGCRAWL;4;13;4;22;4;13;4;18
Trude Olsen;1072;K;19;trude@gmail.com;true;RYGCRAWL;4;13;4;22;4;14;4;19
Roar Larsen;1073;M;19;roar@larsen.dk;true;RYGCRAWL;2;12;4;22;2;10;2;15
Hans Hansen;1074;M;20;hans@hansen.dk;true;RYGCRAWL;2;13;4;22;2;11;2;16
Per Persen;1075;M;19;per@persen.dk;false;RYGCRAWL;2;13;4;22;2;12;2;17
Theis Møller;1076;M;20;theis@møller.dk;true;RYGCRAWL;2;13;4;22;2;13;2;18
Torleif Olsen;1077;M;19;torleif@gmail.com;true;RYGCRAWL;2;13;4;22;2;14;2;19
Jonna Lonna;1078;K;14;jonna@panne.dk;false;BUTTERFLY;3;13;4;22;3;12;3;17
Petra Poll;1079;K;15;petra@poll.dk;true;BUTTERFLY;3;13;4;22;3;13;3;18
Oda Hvidtfeldt;1080;K;14;oda@gmail.com;true;BUTTERFLY;3;13;4;22;3;14;3;19
Sebastian;1082;M;10;sebastian.heiberg@gmail.com;true;BRYST;0;0;0;0;0;0;0;0
